<Trace>
2526
D2 600:615-1120
X	Y
820	6.00000429
820.2	6.00000429
820.4	10.0000124
820.6	4.000002
820.8	0
821	14.0000248
821.2	6.00000429
821.4	2.00000048
821.6	4.000002
821.8	10.0000124
822	4.000002
822.2	6.00000429
822.4	8.000008
822.6	0
822.8	2.00000048
823	12.0000181
823.2	4.000002
823.4	6.00000429
823.6	8.000008
823.8	4.000002
824	16.0000324
824.2	0
824.4	14.0000248
824.6	4.000002
824.8	22.000061
825	0
825.2	0
825.4	10.0000124
825.6	46.0002632
825.8	72.00065
826	38.00018
826.2	86.00092
826.4	170.003616
826.6	156.003036
826.8	40.0002
827	4.000002
827.2	16.0000324
827.4	14.0000248
827.6	0
827.8	4.000002
828	2.00000048
828.2	4.000002
828.4	6.00000429
828.6	6.00000429
828.8	8.000008
829	2.00000048
829.2	10.0000124
829.4	46.0002632
829.6	196.0048
829.8	642.0515
830	1242.19287
830.2	624.0487
830.4	184.004227
830.6	12.0000181
830.8	4.000002
831	0
831.2	14.0000248
831.4	2.00000048
831.6	6.00000429
831.8	0
832	8.000008
832.2	2.00000048
832.4	2.00000048
832.6	2.00000048
832.8	10.0000124
833	24.0000725
833.2	4.000002
833.4	10.0000124
833.6	6.00000429
833.8	10.0000124
834	4.000002
834.2	8.000008
834.4	0
834.6	0
834.8	4.000002
835	8.000008
835.2	6.00000429
835.4	2.00000048
835.6	10.0000124
835.8	8.000008
836	0
836.2	4.000002
836.4	48.0002861
836.6	68.00058
836.8	116.001678
837	30.0001125
837.2	6.00000429
837.4	38.00018
837.6	858.092041
837.8	2102.55249
838	3597.61719
838.2	1210.183
838.4	260.008453
838.6	12.0000181
838.8	8.000008
839	8.000008
839.2	0
839.4	12.0000181
839.6	0
839.8	16.0000324
840	4.000002
840.2	0
840.4	6.00000429
840.6	2.00000048
840.8	2.00000048
841	22.000061
841.2	2.00000048
841.4	4.000002
841.6	40.0002
841.8	92.00106
842	374.0175
842.2	268.008972
842.4	82.00084
842.6	36.00016
842.8	6.00000429
843	12.0000181
843.2	4.000002
843.4	2.00000048
843.6	0
843.8	14.0000248
844	0
844.2	2.00000048
844.4	8.000008
844.6	0
844.8	4.000002
845	2.00000048
845.2	14.0000248
845.4	2.00000048
845.6	2.00000048
845.8	4.000002
846	0
846.2	6.00000429
846.4	44.00024
846.6	48.0002861
846.8	26.0000839
847	0
847.2	2.00000048
847.4	4.000002
847.6	10.0000124
847.8	4.000002
848	4.000002
848.2	0
848.4	4.000002
848.6	10.0000124
848.8	2.00000048
849	4.000002
849.2	10.0000124
849.4	108.001457
849.6	300.011261
849.8	578.041748
850	228.0065
850.2	56.0003929
850.4	6.00000429
850.6	4.000002
850.8	0
851	0
851.2	10.0000124
851.4	2.00000048
851.6	0
851.8	10.0000124
852	4.000002
852.2	14.0000248
852.4	12.0000181
852.6	0
852.8	0
853	0
853.2	2.00000048
853.4	4.000002
853.6	10.0000124
853.8	2.00000048
854	10.0000124
854.2	10.0000124
854.4	2.00000048
854.6	6.00000429
854.8	12.0000181
855	0
855.2	10.0000124
855.4	2.00000048
855.6	22.000061
855.8	6.00000429
856	4.000002
856.2	0
856.4	2.00000048
856.6	4.000002
856.8	8.000008
857	6.00000429
857.2	4.000002
857.4	8.000008
857.6	0
857.8	4.000002
858	6.00000429
858.2	8.000008
858.4	0
858.6	4.000002
858.8	0
859	8.000008
859.2	24.0000725
859.4	10.0000124
859.6	10.0000124
859.8	0
860	16.0000324
860.2	0
860.4	0
860.6	10.0000124
860.8	8.000008
861	0
861.2	16.0000324
861.4	10.0000124
861.6	4.000002
861.8	0
862	6.00000429
862.2	2.00000048
862.4	6.00000429
862.6	0
862.8	0
863	2.00000048
863.2	56.0003929
863.4	34.000145
863.6	14.0000248
863.8	10.0000124
864	8.000008
864.2	0
864.4	0
864.6	0
864.8	22.000061
865	20.00005
865.2	14.0000248
865.4	16.0000324
865.6	26.0000839
865.8	4.000002
866	0
866.2	4.000002
866.4	8.000008
866.6	14.0000248
866.8	4.000002
867	8.000008
867.2	0
867.4	0
867.6	14.0000248
867.8	22.000061
868	16.0000324
868.2	2.00000048
868.4	18.00004
868.6	6.00000429
868.8	8.000008
869	8.000008
869.2	0
869.4	10.0000124
869.6	6.00000429
869.8	6.00000429
870	0
870.2	0
870.4	2.00000048
870.6	0
870.8	10.0000124
871	2.00000048
871.2	0
871.4	2.00000048
871.6	14.0000248
871.8	0
872	8.000008
872.2	2.00000048
872.4	6.00000429
872.6	6.00000429
872.8	2.00000048
873	0
873.2	0
873.4	0
873.6	6.00000429
873.8	0
874	12.0000181
874.2	0
874.4	4.000002
874.6	6.00000429
874.8	0
875	2.00000048
