<Trace>
2526
D2 600:615-1120 [COR]
X	Y
815.6	719.131958
815.8	547.9698
816	185.530151
816.2	0
816.4	770.5577
816.6	196.192764
816.8	0
817	406.603882
817.2	206.856461
817.4	841.6447
817.6	1069.82361
817.8	1305.11609
818	221.073639
818.2	1579.4353
818.4	460.3859
818.6	234.751129
818.8	478.621582
819	487.740845
819.2	993.7207
819.4	505.97934
819.6	1545.28906
819.8	786.322754
820	800.001648
820.2	817.42334
820.4	1391.40894
820.6	568.174
820.8	0
821	2069.91284
821.2	904.5262
821.4	307.3158
821.6	626.2427
821.8	1594.6438
822	649.4715
822.2	995.322
822.4	1355.249
822.6	0
822.8	352.8862
823	2159.549
823.2	733.9253
823.4	1122.00269
823.6	1524.14807
823.8	776.149963
824	3160.91016
824.2	0
824.4	2888.79248
824.6	842.9338
824.8	4732.78662
825	0
825.2	0
825.4	2283.04565
825.6	10704.0615
825.8	17070.5176
826	9176.326
826.2	21237.2656
826.4	42909.5
826.6	40227.4023
826.8	10533.0176
827	1075.1416
827.2	4387.952
827.4	3915.91357
827.6	0
827.8	1162.51379
828	592.179
828.2	1214.72021
828.4	1867.62366
828.6	1913.15271
828.8	2611.59448
829	668.079163
829.2	3416.30371
829.4	16064.23
829.6	69936.1953
829.8	233962.953
830	462082.719
830.2	237740.625
830.4	71750.65
830.6	4786.961
830.8	1631.55347
831	0
831.2	5961.755
831.4	869.628662
831.6	2662.723
831.8	0
832	3693.90381
832.2	945.2114
832.4	966.9475
832.6	988.677
832.8	5052.07031
833	12385.8242
833.2	2107.771
833.4	5378.1123
833.6	3292.0542
833.8	5595.44043
834	2281.64648
834.2	4682.477
834.4	0
834.6	0
834.8	2519.992
835	5159.168
835.2	3958.761
835.4	1349.38184
835.6	6895.84766
835.8	5635.8584
836	0
836.2	2953.07178
836.4	36343.7
836.6	52771.0547
836.8	92212.82
837	24414.5371
837.2	4996.222
837.4	32360.627
837.6	746946.7
837.8	1869930.63
838	3267537.25
838.2	1128625
838.4	248818.547
838.6	11775.7656
838.8	8045.358
839	8240.21
839.2	0
839.4	12944.8779
839.6	0
839.8	18039.1348
840	4607.202
840.2	0
840.4	7278.26758
840.6	2487.313
840.8	2548.55664
841	28707.877
841.2	2671.04419
841.4	5464.57666
841.6	55870.52
841.8	131320.281
842	545317.4
842.2	401329.9
842.4	126027.023
842.6	56748.38
842.8	9694.726
843	19862.8633
843.2	6778.74658
843.4	3468.27173
843.6	0
843.8	25382.3652
844	0
844.2	3803.18628
844.4	15605.7158
